Code,Name,Avg_Daily_Return_%,Data_Points
0154.KL,EA HOLDINGS BERHAD,4.019884530573961,1469
0036.KL,KEY ALLIANCE GROUP BERHAD,3.899343883856173,1469
0150.KL,FINTEC GLOBAL BERHAD,2.6645567171636495,1469
0094.KL,ZEN TECH INTERNATIONAL BERHAD,2.188002933926318,1469
0066.KL,VSOLAR GROUP BERHAD,2.1465099309614954,1469
0096.KL,NEXGRAM HOLDINGS BERHAD,1.6683162097728859,1469
0116.KL,FOCUS DYNAMICS GROUP BERHAD,1.5130664352383247,1469
0187.KL,BCM ALLIANCE BERHAD,1.4684514792644041,1469
0072.KL,ERDASAN GROUP BERHAD,1.4311255347924325,1469
0109.KL,SC ESTATE BUILDER BERHAD,1.2496025641412227,1469
0376.KL,INSIGHTS ANALYTICS BERHAD,1.1998122979441619,25
0165.KL,XOX BHD,0.9696731017395639,1469
0107.KL,EDUSPEC HOLDINGS BERHAD,0.9249919170441987,1469
0152.KL,DGB ASIA BERHAD,0.7164251790683912,1469
0085.KL,MLABS SYSTEMS BERHAD,0.7062600684704302,1469
0070.KL,MQ TECHNOLOGY BERHAD,0.6642332087717305,1469
0074.KL,GREEN OCEAN CORPORATION BERHAD,0.5964476052449725,1469
0103.KL,M N C WIRELESS BERHAD,0.5761480027605465,1469
0140.KL,XOX NETWORKS BERHAD,0.5179818265595101,1469
0018.KL,LAMBO GROUP BERHAD,0.4963079832665245,1469
0169.KL,SMTRACK BERHAD,0.46049580494928916,1469
0177.KL,PASUKHAS GROUP BERHAD,0.43780899496707265,1469
0020.KL,NETX HOLDINGS BERHAD,0.3847943247656697,1469
0034.KL,MMAG HOLDINGS BERHAD,0.38387360071429333,1469
0372.KL,CHEEDING HOLDINGS BERHAD,0.3673052457298173,38
0366.KL,ICENTS GROUP HOLDINGS BERHAD,0.3309853405277944,92
0133.KL,SANICHI TECHNOLOGY BERHAD,0.32996932314249283,1469
0079.KL,ALDRICH RESOURCES BERHAD,0.32963769991650027,1469
0017.KL,XOX TECHNOLOGY BERHAD,0.31096137493931025,1469
0295.KL,MASTER TEC GROUP BERHAD,0.3046900603854893,451
0318.KL,ELRIDGE ENERGY HOLDINGS BERHAD,0.3003588861841962,313
0092.KL,MTOUCHE TECHNOLOGY BERHAD,0.2946731198328232,1469
0068.KL,ASDION BERHAD,0.28401696015682654,1469
0117.KL,SMRT HOLDINGS BERHAD,0.28011248114087217,1469
0245.KL,MN HOLDINGS BERHAD,0.2778195383344749,877
0293.KL,KJTS GROUP BERHAD,0.2645605745035196,452
0292.KL,JATI TINGGI GROUP BERHAD,0.25464009516187275,476
